,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
16,{'LUNCH BAG APPLE DESIGN'},{'LUNCH BAG WOODLAND'},0.125,0.11734693877551021,0.05357142857142857,0.42857142857142855,3.652173913043478,0.03890306122448979,1.5446428571428572
17,{'LUNCH BAG WOODLAND'},{'LUNCH BAG APPLE DESIGN'},0.11734693877551021,0.125,0.05357142857142857,0.45652173913043476,3.652173913043478,0.03890306122448979,1.61
18,{'LUNCH BAG DOLLY GIRL DESIGN'},{'LUNCH BAG SPACEBOY DESIGN'},0.08418367346938775,0.11989795918367346,0.05102040816326531,0.6060606060606061,5.054803352675694,0.04092695751770096,2.234105180533752
19,{'LUNCH BAG SPACEBOY DESIGN'},{'LUNCH BAG DOLLY GIRL DESIGN'},0.11989795918367346,0.08418367346938775,0.05102040816326531,0.425531914893617,5.054803352675694,0.04092695751770096,1.594198790627362
20,{'LUNCH BAG SPACEBOY DESIGN'},{'LUNCH BAG RED RETROSPOT'},0.11989795918367346,0.15306122448979592,0.0663265306122449,0.5531914893617021,3.6141843971631205,0.047974802165764274,1.8955296404275996
21,{'LUNCH BAG RED RETROSPOT'},{'LUNCH BAG SPACEBOY DESIGN'},0.15306122448979592,0.11989795918367346,0.0663265306122449,0.43333333333333335,3.614184397163121,0.047974802165764274,1.5531212484993997
22,{'LUNCH BAG RED RETROSPOT'},{'LUNCH BAG WOODLAND'},0.15306122448979592,0.11734693877551021,0.05612244897959184,0.36666666666666664,3.12463768115942,0.03816118284048313,1.3936627282491945
23,{'LUNCH BAG WOODLAND'},{'LUNCH BAG RED RETROSPOT'},0.11734693877551021,0.15306122448979592,0.05612244897959184,0.47826086956521735,3.12463768115942,0.03816118284048313,1.6232993197278907
24,{'LUNCH BOX WITH CUTLERY RETROSPOT'},{'LUNCH BAG RED RETROSPOT'},0.14285714285714285,0.15306122448979592,0.05102040816326531,0.35714285714285715,2.3333333333333335,0.02915451895043732,1.3174603174603174
25,{'LUNCH BAG RED RETROSPOT'},{'LUNCH BOX WITH CUTLERY RETROSPOT'},0.15306122448979592,0.14285714285714285,0.05102040816326531,0.3333333333333333,2.3333333333333335,0.02915451895043732,1.2857142857142856
26,{'LUNCH BAG RED RETROSPOT'},{'SPACEBOY LUNCH BOX'},0.15306122448979592,0.125,0.05357142857142857,0.35,2.8,0.03443877551020408,1.346153846153846
27,{'SPACEBOY LUNCH BOX'},{'LUNCH BAG RED RETROSPOT'},0.125,0.15306122448979592,0.05357142857142857,0.42857142857142855,2.8,0.03443877551020408,1.4821428571428572
28,{'LUNCH BAG SPACEBOY DESIGN'},{'LUNCH BAG WOODLAND'},0.11989795918367346,0.11734693877551021,0.06377551020408163,0.5319148936170213,4.532839962997224,0.04970585172844648,1.8856679035250463
29,{'LUNCH BAG WOODLAND'},{'LUNCH BAG SPACEBOY DESIGN'},0.11734693877551021,0.11989795918367346,0.06377551020408163,0.5434782608695652,4.532839962997225,0.04970585172844648,1.9278425655976674
30,{'LUNCH BAG SPACEBOY DESIGN'},{'PLASTERS IN TIN SPACEBOY'},0.11989795918367346,0.1377551020408163,0.05357142857142857,0.44680851063829785,3.2434988179669033,0.037054872969596,1.558673469387755
31,{'PLASTERS IN TIN SPACEBOY'},{'LUNCH BAG SPACEBOY DESIGN'},0.1377551020408163,0.11989795918367346,0.05357142857142857,0.3888888888888889,3.2434988179669033,0.037054872969596,1.4401669758812614
32,{'LUNCH BAG SPACEBOY DESIGN'},{'SPACEBOY LUNCH BOX'},0.11989795918367346,0.125,0.05612244897959184,0.46808510638297873,3.74468085106383,0.041135204081632654,1.645
33,{'SPACEBOY LUNCH BOX'},{'LUNCH BAG SPACEBOY DESIGN'},0.125,0.11989795918367346,0.05612244897959184,0.4489795918367347,3.74468085106383,0.041135204081632654,1.5972222222222223
34,{'LUNCH BOX WITH CUTLERY RETROSPOT'},{'RED RETROSPOT MINI CASES'},0.14285714285714285,0.1377551020408163,0.05102040816326531,0.35714285714285715,2.592592592592593,0.03134110787172012,1.3412698412698414
35,{'RED RETROSPOT MINI CASES'},{'LUNCH BOX WITH CUTLERY RETROSPOT'},0.1377551020408163,0.14285714285714285,0.05102040816326531,0.3703703703703704,2.592592592592593,0.03134110787172012,1.3613445378151263
36,{'LUNCH BOX WITH CUTLERY RETROSPOT'},{'STRAWBERRY LUNCH BOX WITH CUTLERY'},0.14285714285714285,0.12244897959183673,0.06377551020408163,0.44642857142857145,3.6458333333333335,0.04628279883381925,1.585253456221198
37,{'STRAWBERRY LUNCH BOX WITH CUTLERY'},{'LUNCH BOX WITH CUTLERY RETROSPOT'},0.12244897959183673,0.14285714285714285,0.06377551020408163,0.5208333333333334,3.645833333333334,0.04628279883381925,1.7888198757763978
38,{'PACK OF 6 SKULL PAPER CUPS'},{'PACK OF 6 SKULL PAPER PLATES'},0.06377551020408163,0.05612244897959184,0.05102040816326531,0.8,14.254545454545456,0.047441170345689294,4.719387755102042
39,{'PACK OF 6 SKULL PAPER PLATES'},{'PACK OF 6 SKULL PAPER CUPS'},0.05612244897959184,0.06377551020408163,0.05102040816326531,0.9090909090909091,14.254545454545454,0.047441170345689294,10.298469387755098
40,{'PLASTERS IN TIN CIRCUS PARADE'},{'PLASTERS IN TIN SPACEBOY'},0.1683673469387755,0.1377551020408163,0.08928571428571429,0.5303030303030304,3.849607182940517,0.06609225322782175,1.8357472021066494
41,{'PLASTERS IN TIN SPACEBOY'},{'PLASTERS IN TIN CIRCUS PARADE'},0.1377551020408163,0.1683673469387755,0.08928571428571429,0.6481481481481483,3.849607182940517,0.06609225322782175,2.36358754027927
42,{'PLASTERS IN TIN CIRCUS PARADE'},{'PLASTERS IN TIN STRONGMAN'},0.1683673469387755,0.08163265306122448,0.058673469387755105,0.3484848484848485,4.2689393939393945,0.04492919616826323,1.4095870906502137
43,{'PLASTERS IN TIN STRONGMAN'},{'PLASTERS IN TIN CIRCUS PARADE'},0.08163265306122448,0.1683673469387755,0.058673469387755105,0.7187500000000001,4.2689393939393945,0.04492919616826323,2.9569160997732435
44,{'PLASTERS IN TIN WOODLAND ANIMALS'},{'PLASTERS IN TIN CIRCUS PARADE'},0.17091836734693877,0.1683673469387755,0.10204081632653061,0.5970149253731344,3.5459068294889193,0.0732637442732195,2.0636810279667426
45,{'PLASTERS IN TIN CIRCUS PARADE'},{'PLASTERS IN TIN WOODLAND ANIMALS'},0.1683673469387755,0.17091836734693877,0.10204081632653061,0.6060606060606061,3.5459068294889193,0.0732637442732195,2.104591836734694
46,{'PLASTERS IN TIN CIRCUS PARADE'},{'RED RETROSPOT MINI CASES'},0.1683673469387755,0.1377551020408163,0.05102040816326531,0.30303030303030304,2.1997755331088666,0.027826947105372767,1.237133984028394
47,{'RED RETROSPOT MINI CASES'},{'PLASTERS IN TIN CIRCUS PARADE'},0.1377551020408163,0.1683673469387755,0.05102040816326531,0.3703703703703704,2.1997755331088666,0.027826947105372767,1.320828331332533
48,{'PLASTERS IN TIN CIRCUS PARADE'},{'RED TOADSTOOL LED NIGHT LIGHT'},0.1683673469387755,0.18112244897959184,0.05102040816326531,0.30303030303030304,1.6730687153222363,0.020525301957517703,1.1749112688553682
49,{'RED TOADSTOOL LED NIGHT LIGHT'},{'PLASTERS IN TIN CIRCUS PARADE'},0.18112244897959184,0.1683673469387755,0.05102040816326531,0.28169014084507044,1.6730687153222366,0.020525301957517703,1.157763105242097
50,{'PLASTERS IN TIN CIRCUS PARADE'},{'ROUND SNACK BOXES SET OF4 WOODLAND'},0.1683673469387755,0.15816326530612246,0.05357142857142857,0.3181818181818182,2.0117302052785924,0.026941899208663054,1.2346938775510203
51,{'ROUND SNACK BOXES SET OF4 WOODLAND'},{'PLASTERS IN TIN CIRCUS PARADE'},0.15816326530612246,0.1683673469387755,0.05357142857142857,0.3387096774193548,2.0117302052785924,0.026941899208663054,1.2575908412145345
52,{'PLASTERS IN TIN WOODLAND ANIMALS'},{'PLASTERS IN TIN SPACEBOY'},0.17091836734693877,0.1377551020408163,0.10459183673469388,0.6119402985074628,4.442233278054175,0.08104695960016661,2.2219387755102047
53,{'PLASTERS IN TIN SPACEBOY'},{'PLASTERS IN TIN WOODLAND ANIMALS'},0.1377551020408163,0.17091836734693877,0.10459183673469388,0.7592592592592594,4.442233278054174,0.08104695960016661,3.4438775510204103
54,{'PLASTERS IN TIN WOODLAND ANIMALS'},{'RED TOADSTOOL LED NIGHT LIGHT'},0.17091836734693877,0.18112244897959184,0.05357142857142857,0.31343283582089554,1.7305024174900148,0.022614275301957514,1.1927129547471162
55,{'RED TOADSTOOL LED NIGHT LIGHT'},{'PLASTERS IN TIN WOODLAND ANIMALS'},0.18112244897959184,0.17091836734693877,0.05357142857142857,0.29577464788732394,1.7305024174900148,0.022614275301957514,1.177295918367347
56,{'RED TOADSTOOL LED NIGHT LIGHT'},{'RABBIT NIGHT LIGHT'},0.18112244897959184,0.18877551020408162,0.05357142857142857,0.29577464788732394,1.5668062428625809,0.019379945855893373,1.1519387755102042
57,{'RABBIT NIGHT LIGHT'},{'RED TOADSTOOL LED NIGHT LIGHT'},0.18877551020408162,0.18112244897959184,0.05357142857142857,0.28378378378378377,1.5668062428625809,0.019379945855893373,1.1433384674624567
58,{'ROUND SNACK BOXES SET OF4 WOODLAND'},{'RED RETROSPOT MINI CASES'},0.15816326530612246,0.1377551020408163,0.05102040816326531,0.3225806451612903,2.3416965352449224,0.029232611411911705,1.2728377065111758
59,{'RED RETROSPOT MINI CASES'},{'ROUND SNACK BOXES SET OF4 WOODLAND'},0.1377551020408163,0.15816326530612246,0.05102040816326531,0.3703703703703704,2.3416965352449224,0.029232611411911705,1.3370348139255703
60,{'ROUND SNACK BOXES SET OF4 WOODLAND'},{'ROUND SNACK BOXES SET OF 4 FRUITS'},0.15816326530612246,0.10714285714285714,0.06377551020408163,0.4032258064516129,3.7634408602150535,0.04682944606413994,1.4961389961389961
61,{'ROUND SNACK BOXES SET OF 4 FRUITS'},{'ROUND SNACK BOXES SET OF4 WOODLAND'},0.10714285714285714,0.15816326530612246,0.06377551020408163,0.5952380952380952,3.7634408602150535,0.04682944606413994,2.0798319327731094
62,{'SET/20 RED RETROSPOT PAPER NAPKINS'},{'SET/6 RED SPOTTY PAPER CUPS'},0.1326530612244898,0.1377551020408163,0.10204081632653061,0.7692307692307692,5.584045584045584,0.08376718034152436,3.7363945578231283
63,{'SET/6 RED SPOTTY PAPER CUPS'},{'SET/20 RED RETROSPOT PAPER NAPKINS'},0.1377551020408163,0.1326530612244898,0.10204081632653061,0.7407407407407408,5.584045584045584,0.08376718034152436,3.3454810495626828
64,{'SET/6 RED SPOTTY PAPER PLATES'},{'SET/20 RED RETROSPOT PAPER NAPKINS'},0.12755102040816327,0.1326530612244898,0.10204081632653061,0.8,6.030769230769231,0.08512078300708038,4.336734693877552
65,{'SET/20 RED RETROSPOT PAPER NAPKINS'},{'SET/6 RED SPOTTY PAPER PLATES'},0.1326530612244898,0.12755102040816327,0.10204081632653061,0.7692307692307692,6.03076923076923,0.08512078300708038,3.780612244897958
66,{'SET/6 RED SPOTTY PAPER PLATES'},{'SET/6 RED SPOTTY PAPER CUPS'},0.12755102040816327,0.1377551020408163,0.12244897959183673,0.96,6.968888888888889,0.10487817576009996,21.556122448979572
67,{'SET/6 RED SPOTTY PAPER CUPS'},{'SET/6 RED SPOTTY PAPER PLATES'},0.1377551020408163,0.12755102040816327,0.12244897959183673,0.888888888888889,6.968888888888889,0.10487817576009996,7.852040816326535
68,"{'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE RED'}",{'ALARM CLOCK BAKELIKE PINK'},0.07908163265306123,0.10204081632653061,0.06377551020408163,0.8064516129032258,7.903225806451612,0.055705955851728446,4.639455782312924
69,"{'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK'}",{'ALARM CLOCK BAKELIKE RED'},0.07397959183673469,0.09438775510204081,0.06377551020408163,0.8620689655172414,9.13327120223672,0.05679274260724698,6.565688775510207
70,"{'ALARM CLOCK BAKELIKE RED', 'ALARM CLOCK BAKELIKE PINK'}",{'ALARM CLOCK BAKELIKE GREEN'},0.07397959183673469,0.09693877551020408,0.06377551020408163,0.8620689655172414,8.892921960072597,0.056604019158683884,6.547193877551024
71,{'ALARM CLOCK BAKELIKE GREEN'},"{'ALARM CLOCK BAKELIKE RED', 'ALARM CLOCK BAKELIKE PINK'}",0.09693877551020408,0.07397959183673469,0.06377551020408163,0.6578947368421053,8.892921960072597,0.056604019158683884,2.706828885400314
72,{'ALARM CLOCK BAKELIKE RED'},"{'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK'}",0.09438775510204081,0.07397959183673469,0.06377551020408163,0.6756756756756758,9.13327120223672,0.05679274260724698,2.855229591836735
73,{'ALARM CLOCK BAKELIKE PINK'},"{'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE RED'}",0.10204081632653061,0.07908163265306123,0.06377551020408163,0.625,7.903225806451612,0.055705955851728446,2.45578231292517
74,"{'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN CIRCUS PARADE'}",{'PLASTERS IN TIN SPACEBOY'},0.10204081632653061,0.1377551020408163,0.06887755102040816,0.6749999999999999,4.9,0.05482090795501873,2.6530612244897953
75,"{'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN SPACEBOY'}",{'PLASTERS IN TIN CIRCUS PARADE'},0.10459183673469388,0.1683673469387755,0.06887755102040816,0.6585365853658536,3.9113082039911307,0.05126770095793419,2.435495626822157
76,"{'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY'}",{'PLASTERS IN TIN WOODLAND ANIMALS'},0.08928571428571429,0.17091836734693877,0.06887755102040816,0.7714285714285714,4.513432835820895,0.05361698250728862,3.6272321428571415
77,{'PLASTERS IN TIN WOODLAND ANIMALS'},"{'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY'}",0.17091836734693877,0.08928571428571429,0.06887755102040816,0.40298507462686567,4.513432835820895,0.05361698250728862,1.5254464285714286
78,{'PLASTERS IN TIN CIRCUS PARADE'},"{'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN SPACEBOY'}",0.1683673469387755,0.10459183673469388,0.06887755102040816,0.40909090909090906,3.91130820399113,0.05126770095793419,1.5153061224489794
79,{'PLASTERS IN TIN SPACEBOY'},"{'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN CIRCUS PARADE'}",0.1377551020408163,0.10204081632653061,0.06887755102040816,0.5,4.8999999999999995,0.05482090795501873,1.7959183673469388
80,"{'SET/6 RED SPOTTY PAPER PLATES', 'SET/20 RED RETROSPOT PAPER NAPKINS'}",{'SET/6 RED SPOTTY PAPER CUPS'},0.10204081632653061,0.1377551020408163,0.09948979591836735,0.975,7.077777777777778,0.08543315285297792,34.489795918367314
81,"{'SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'}",{'SET/20 RED RETROSPOT PAPER NAPKINS'},0.12244897959183673,0.1326530612244898,0.09948979591836735,0.8125,6.125,0.08324656393169513,4.625850340136054
82,"{'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'}",{'SET/6 RED SPOTTY PAPER PLATES'},0.10204081632653061,0.12755102040816327,0.09948979591836735,0.975,7.643999999999999,0.0864743856726364,34.89795918367344
83,{'SET/6 RED SPOTTY PAPER PLATES'},"{'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'}",0.12755102040816327,0.10204081632653061,0.09948979591836735,0.78,7.644,0.0864743856726364,4.081632653061225
84,{'SET/20 RED RETROSPOT PAPER NAPKINS'},"{'SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'}",0.1326530612244898,0.12244897959183673,0.09948979591836735,0.75,6.125,0.08324656393169513,3.510204081632653
85,{'SET/6 RED SPOTTY PAPER CUPS'},"{'SET/6 RED SPOTTY PAPER PLATES', 'SET/20 RED RETROSPOT PAPER NAPKINS'}",0.1377551020408163,0.10204081632653061,0.09948979591836735,0.7222222222222223,7.077777777777778,0.08543315285297792,3.232653061224491
